"Label (Grouping)","United States!!Estimate","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"            Physical and Related Sciences","94,580","88,188","85,286","83,719","73,453","114,663","89,769","104,067","103,155","131,948","81,123","104,146","76,174","97,287","93,269","84,837","103,894","73,500","74,301","76,988","84,196","120,384","111,507","84,907","92,475","69,452","80,202","63,264","86,146","87,422","89,263","101,852","96,612","93,217","83,861","145,882","91,605","77,650","103,797","92,768","93,586","83,774","78,681","91,276","84,647","84,960","67,878","110,569","104,204","88,988","82,054","79,788","47,404"
"            Psychology","75,890","58,578","98,225","82,736","52,132","85,197","81,636","87,726","91,557","84,314","75,635","65,056","76,638","54,167","75,747","61,663","70,979","59,420","54,219","72,717","63,613","85,667","87,413","64,428","75,842","61,175","65,156","62,074","63,959","74,375","89,180","83,916","60,053","86,161","74,817","72,652","64,724","54,474","65,841","73,221","67,804","62,067","39,996","70,405","69,743","76,760","67,307","88,872","88,226","53,207","75,845","56,750","32,278"
"            Social Sciences","92,960","73,399","74,848","79,125","82,813","101,325","91,858","123,045","105,983","114,022","75,879","91,082","84,747","83,162","95,261","79,036","79,076","89,625","76,578","80,401","63,778","107,976","110,916","91,898","88,497","62,075","76,774","73,046","58,917","75,853","97,726","110,039","56,946","101,318","85,120","83,223","88,654","73,018","78,829","83,518","96,029","84,491","81,250","81,369","89,203","95,877","87,511","106,903","102,276","85,075","80,844","100,455","40,345"
"            Engineering","110,918","104,779","104,346","105,254","90,601","136,443","114,362","106,277","103,107","133,973","92,322","110,100","100,777","102,694","108,844","100,444","97,098","102,152","105,918","101,162","98,772","117,513","121,771","110,118","104,850","90,027","100,239","93,200","101,515","85,569","117,265","126,095","87,213","104,296","107,347","94,893","104,894","91,755","113,603","105,617","119,496","106,625","74,752","100,218","112,262","104,867","100,477","122,237","136,980","98,936","104,645","92,780","67,514"
"            Multidisciplinary Studies","80,034","113,047","-","84,508","96,375","94,615","67,599","94,634","65,882","115,260","84,458","102,604","64,929","67,415","69,226","90,816","50,579","60,106","52,654","44,675","60,344","99,950","96,652","72,835","72,232","60,665","65,614","105,538","45,929","31,615","120,042","80,856","-","114,291","65,905","46,141","75,832","56,267","56,984","94,131","38,355","61,853","49,295","46,837","61,886","70,506","52,199","95,211","102,267","27,262","93,112","-","156,471"
"        Science and Engineering Related Fields","88,839","79,624","80,527","81,197","78,799","102,144","91,258","101,313","84,602","104,509","75,377","87,941","85,328","80,395","86,099","83,206","99,275","82,429","80,953","78,261","88,973","93,661","105,920","87,831","88,999","75,515","77,455","78,272","75,479","90,334","87,097","105,454","90,427","89,276","79,828","80,497","88,312","74,982","87,051","91,198","92,728","85,739","90,344","82,527","89,482","87,086","76,763","90,926","96,342","71,917","84,241","69,217","32,139"
"        Business","92,931","83,382","94,544","86,622","78,191","100,465","99,781","105,584","97,011","116,890","81,447","93,815","83,817","88,137","99,926","87,554","78,936","82,009","80,777","80,061","79,423","102,330","104,490","90,100","96,087","78,967","84,733","63,162","84,951","76,408","97,522","105,491","86,700","99,387","87,164","79,976","90,000","81,616","91,415","92,707","93,039","82,429","70,641","83,860","94,050","97,248","76,797","104,375","104,598","81,948","88,270","91,108","35,937"
"        Education","66,887","62,619","96,373","58,627","64,460","80,157","66,067","87,370","61,021","106,455","57,731","70,187","67,598","66,196","68,815","57,753","68,487","58,165","60,588","56,625","65,083","73,614","80,941","67,203","71,815","47,643","57,555","51,413","61,153","63,561","65,900","78,177","56,660","76,585","55,811","82,718","67,395","57,486","75,397","76,794","68,222","61,690","54,587","60,569","68,011","71,811","51,842","76,325","84,211","50,023","64,539","70,735","26,908"
"        Arts, Humanities, and Other","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Literature and Languages","75,098","61,007","72,985","62,558","63,500","86,171","70,952","87,731","72,755","104,138","68,938","66,599","82,251","58,750","76,407","55,111","52,653","55,185","64,880","56,765","70,524","103,271","89,353","61,086","72,612","48,030","54,745","54,104","69,211","90,462","80,157","80,801","75,740","85,653","67,447","65,566","64,002","51,010","73,551","70,735","64,784","71,213","48,335","73,842","71,887","89,143","58,014","90,516","74,971","57,740","65,620","62,289","23,173"
